顶点序号,横坐标(米),纵坐标(米)
1,504.01977728605453,319.7071135177701
2,478.9384673823188,306.61439555195767
3,487.9896794644618,289.2752719391639
4,495.29490311042895,280.44517972745626
5,520.8178634253196,292.6545968709571
6,512.3822639129036,310.2886468061181
