横坐标(米),纵坐标(米),角度代价,GDOP(米每弧度),第二次检测耗时(秒),条件接收采样覆盖率,1000米采样覆盖率,离散源采样最坏一阶误差(米),统计位置RMS(米),是否折中点
823.9341502419566,-299.8875056834893,0.8189692229921686,3210.63632563189,180.36248173426378,1.0,0.924506387921022,74.69039757774192,32.35250070121338,0
832.9972281123231,-295.6613230660823,0.8159093152962469,3177.987963317108,181.7823520603796,1.0,0.9326364692218351,73.8311104133666,32.02351415226982,0
842.0603059826896,-291.43514044867527,0.8127774646730419,3145.6457676012055,183.2133552795637,1.0,0.9384436701509872,72.9788965446809,31.697612741006253,0
810.6448897541832,-295.05061043052984,0.8263855416396808,3272.247798558759,177.5340546095176,1.0,0.9233449477351916,76.2832096882491,32.973338759126094,0
819.7079676245496,-290.82442781312284,0.823448652619657,3238.6989830129587,178.95401691251627,1.0,0.9314750290360047,75.40155952632902,32.635278646305075,0
828.771045494916,-286.59824519571583,0.8204422809133718,3205.4604753760823,180.38529014715002,1.0,0.9372822299651568,74.52707847211664,32.30034540175029,0
837.8341233652825,-282.3720625783088,0.8173644626841592,3172.532340763433,181.82759965570983,1.0,0.943089430894309,73.65978325689701,31.96853968160672,0
846.8972012356492,-278.1458799609018,0.8142131757061233,3139.9146753737728,183.2806775845324,1.0,0.9488966318234611,72.7996911110971,31.639862455236887,0
855.9602791060156,-273.9196973434949,0.8109863379263342,3107.6076077140888,184.74426277353055,1.0,0.9570267131242741,71.94681977233627,31.314315017562407,0
865.023356976382,-269.69351472608787,0.8076818060343609,3075.611299854503,186.2181006411887,1.0,0.9628339140534262,71.10118749326134,30.991899001709303,0
874.0864348467485,-265.46733210868086,0.8042973740448547,3043.925948712877,187.70194306574845,1.0,0.9686411149825784,70.26281304912716,30.67261639195253,0
883.1495127171152,-261.24114949127386,0.8008307718995775,3012.551787368472,189.19554826325202,1.0,0.9767711962833914,69.43171574507868,30.356469536953288,0
892.2125905874816,-257.01496687386685,0.7972796640959815,2981.4890864038857,190.69868066305693,1.0,0.983739837398374,68.60791542308782,30.043461163281265,0
910.3387463282145,-248.5626016390529,0.7899142543033808,2920.299343703102,193.73261509341725,1.0,0.9953542392566783,66.98228781609602,29.4268727387905,0
670.4725390812787,-349.38027182126814,0.8669567647674576,3852.4383883093765,156.2084653714864,1.0,0.8304297328687572,91.36608993972024,38.81972388592801,0
679.5356169516451,-345.1540892038612,0.864906761113252,3813.542763568295,157.43359209832983,1.0,0.8373983739837398,90.36105464110403,38.42778577800098,0
688.5986948220117,-340.9279065864542,0.862811293102311,3774.9641350962656,158.67498169838836,1.0,0.8443670150987224,89.3631052923875,38.039041934692115,0
797.3556292664096,-290.2137151775703,0.8336223949555878,3336.655791605885,174.70562748477138,1.0,0.9221835075493612,77.9445654277255,33.62235640823987,0
806.4187071367761,-285.9875325601633,0.8308065460826493,3302.177808449535,176.1256848050578,1.0,0.9291521486643438,77.03981863539288,33.27493338641172,0
815.4817850071425,-281.7613499427563,0.8279236931300731,3268.01446631176,177.5572368809839,1.0,0.9361207897793263,76.14234008567166,32.930680896136096,0
824.5448628775091,-277.5351673253493,0.8249719172779574,3234.165782238281,178.99999999999997,1.0,0.9419279907084785,75.25214627404308,32.58959910917698,0
833.6079407478755,-273.3089847079423,0.8219492410418009,3200.6318038998375,180.45369759569047,1.0,0.9477351916376306,74.36925420953864,32.251688505896354,0
842.6710186182421,-269.08280209053527,0.8188536267082218,3167.4126108437954,181.91806012954132,1.0,0.9558652729384437,73.49368142399209,31.916949887866227,0
851.7340964886085,-264.8566194731283,0.8156829747657357,3134.5083157793356,183.39282496782204,1.0,0.9616724738675958,72.62544598115218,31.585384390819048,0
860.7971743589751,-260.6304368557213,0.8124351223354181,3101.919065895941,184.87773625437916,1.0,0.967479674796748,71.76456648562008,31.25699349793365,0
869.8602522293415,-256.4042542383143,0.8091078416069061,3069.645044214888,186.37254478007412,1.0,0.9732868757259001,70.91106209157216,30.931779053453788,0
878.9233300997081,-252.1780716209073,0.8056988382858511,3037.6864709731512,187.87700784953805,1.0,0.9814169570267132,70.06495251122477,30.60974327663326,0
887.9864079700745,-247.9518890035003,0.802205750059696,3006.043605039144,189.39088914585773,1.0,0.9883855981416957,69.22625802299494,30.290888776001868,0
897.0494858404411,-243.7257063860933,0.7986261450894213,2974.716745359398,190.91395859375376,1.0,0.9941927990708479,68.39499947930555,29.975218563943102,0
906.1125637108075,-239.49952376868634,0.7949575205358007,2943.706232435169,192.4459922217597,1.0,0.9988385598141696,67.5711983139804,29.662736071573416,0
915.1756415811741,-235.27334115127934,0.7911973011296229,2913.012449827749,193.98677202386415,1.0,1.0,66.754876549169,29.35344516391074,0
924.2387194515405,-231.04715853387233,0.7873428377963664,2882.635825690995,195.53608582103283,1.0,1.0,65.9460568017369,29.047350155317258,0
933.3017973219071,-226.82097591646533,0.7896969895960758,2852.5768343293907,197.09372712298546,1.0,1.0,65.14476228905144,28.744455825199484,0
942.3648751922735,-222.59479329905832,0.7936704033802543,2822.8359977796554,198.65949499056325,1.0,1.0,64.35101683408807,28.444767433945575,0
951.4279530626401,-218.36861068165138,0.7975470530528816,2793.4138874136197,200.2331938989884,1.0,1.0,63.56484486977586,28.148290739076995,0
